fp16_bits,fp16_value,ref_bf16_bits,ref_bf16_value,mpfr_bf16_bits,mpfr_bf16_value,ref_gelu_f64,mpfr_gelu_f64
0xC824,-8.28125,0xA604,-4.579669976578771e-16,0xA611,-5.030698080332741e-16,-4.597017211338539e-16,-5.046966269473226e-16
0xC825,-8.2890625,0xA605,-4.614364446098307e-16,0xA608,-4.718447854656915e-16,-4.601354020028481e-16,-4.730756864838146e-16
0xC826,-8.296875,0xA605,-4.614364446098307e-16,0xA600,-4.440892098500626e-16,-4.605690828718423e-16,-4.434088091356156e-16
0xC827,-8.3046875,0xA605,-4.614364446098307e-16,0xA5F0,-4.163336342344337e-16,-4.610027637408365e-16,-4.1557696623730145e-16
0xC828,-8.3125,0xA605,-4.614364446098307e-16,0xA5E1,-3.903127820947816e-16,-4.614364446098307e-16,-3.894682710560588e-16
0xC829,-8.3203125,0xA605,-4.614364446098307e-16,0xA5D2,-3.642919299551295e-16,-4.618701254788249e-16,-3.6497755699728248e-16
0xC82A,-8.328125,0xA605,-4.614364446098307e-16,0xA5C5,-3.41740524767431e-16,-4.623038063478191e-16,-3.42005980308606e-16
0xC82B,-8.3359375,0xA605,-4.614364446098307e-16,0xA5B9,-3.209238430557093e-16,-4.627374872168133e-16,-3.2046064588434164e-16
0xC82C,-8.34375,0xA606,-4.649058915617843e-16,0xA5AD,-3.0010716134398763e-16,-4.631711680858075e-16,-3.0025425485060697e-16
0xC82D,-8.3515625,0xA606,-4.649058915617843e-16,0xA5A2,-2.8102520310824275e-16,-4.636048489548017e-16,-2.8130477268541494e-16
0xC82E,-8.359375,0xA606,-4.649058915617843e-16,0xA598,-2.636779683484747e-16,-4.640385298237959e-16,-2.6353511669793847e-16
0xC82F,-8.3671875,0xA606,-4.649058915617843e-16,0xA58E,-2.463307335887066e-16,-4.644722106927901e-16,-2.468728617572453e-16
0xC830,-8.375,0x8000,-0.0,0xA585,-2.3071822230491534e-16,-0.0,-2.3124996322324066e-16
0xC831,-8.3828125,0x8000,-0.0,0xA57A,-2.1684043449710089e-16,-0.0,-2.1660249609155522e-16
0xC832,-8.390625,0x8000,-0.0,0xA56A,-2.0296264668928643e-16,-0.0,-2.0287040941985252e-16
0xC833,-8.3984375,0x8000,-0.0,0xA55B,-1.8995222061946038e-16,-0.0,-1.899972951556884e-16
0xC834,-8.40625,0x8000,-0.0,0xA54D,-1.7780915628762273e-16,-0.0,-1.7793017053579466e-16
